Employee_ID,Name,Department,Designation,Date,Attendance_Status,IN_TIME,OUT_TIME,OT_Hours,OT_Approved,Base_Salary,OT_Pay,Deductions,Bank_Account,Net_Pay
E001,Employee_1,Finance,Supervisor,2025-01-01,Present,09:15,20:00,35,No,49469,3976,0,1000000000,53445
E002,Employee_2,Operations,Manager,2025-01-02,Present,09:15,17:30,35,No,31072,3791,0,1000000001,34863
E003,Employee_3,Finance,Developer,2025-01-03,Present,09:00,17:30,5,No,48996,14134,500,1000000002,62630
E004,Employee_4,HR,Manager,2025-01-04,Present,09:30,18:00,10,Yes,34753,5673,1000,1000000003,39426
E005,Employee_5,Finance,Analyst,2025-01-05,Present,09:00,20:00,10,Yes,41251,816,500,1000000004,41567
E006,Employee_6,HR,Manager,2025-01-06,Present,09:15,20:00,0,Yes,37905,2491,0,1000000005,41754
E007,Employee_7,IT,Analyst,2025-01-07,Present,09:00,17:30,35,No,27775,1217,1000,1000000006,27992
E008,Employee_8,Sales,Executive,2025-01-08,Present,09:15,17:30,35,Yes,52807,8452,1000,1000000007,60259
E009,Employee_9,Sales,Executive,2025-01-09,Present,09:30,20:00,5,Yes,40600,9093,0,1000000008,49693
E010,Employee_10,Finance,Supervisor,2025-01-10,Present,09:15,17:30,0,Yes,29807,12352,0,1000000009,42159
E011,Employee_11,Operations,Developer,2025-01-11,Present,09:30,18:00,5,No,57221,5102,500,1000000000,61823
E012,Employee_12,Finance,Developer,2025-01-12,Absent,09:15,17:30,20,Yes,55635,4404,0,1000000011,62016
E013,Employee_13,Finance,Analyst,2025-01-13,Present,09:15,18:00,35,Yes,53532,4908,0,1000000012,58440
E014,Employee_14,HR,Executive,2025-01-14,Present,09:15,18:00,5,No,47600,8101,1000,1000000013,54701
E015,Employee_15,Operations,Executive,2025-01-15,Present,09:30,20:00,0,No,27932,11677,500,1000000014,39109
E016,Employee_16,Operations,Manager,2025-01-16,Present,09:00,18:00,35,Yes,57219,1333,500,1000000015,58052
E017,Employee_17,Sales,Supervisor,2025-01-17,Absent,09:15,18:00,10,Yes,45941,14932,500,1000000016,60373
E018,Employee_18,IT,Analyst,2025-01-18,Present,09:00,20:00,5,Yes,47284,5414,0,1000000017,52698
E019,Employee_19,HR,Manager,2025-01-19,Present,09:15,20:00,5,No,42283,2033,0,1000000018,44316
E020,Employee_20,Sales,Analyst,2025-01-20,Present,09:00,20:00,0,Yes,31569,4552,1000,1000000019,35121
E021,Employee_21,HR,Supervisor,2025-01-21,Absent,09:00,17:30,35,Yes,36436,4741,500,1000000000,40677
E022,Employee_22,HR,Developer,2025-01-22,Absent,09:30,20:00,5,Yes,48179,6625,0,1000000021,54804
E023,Employee_23,Sales,Analyst,2025-01-01,Present,09:30,20:00,20,No,30892,14701,0,1000000022,45593
E024,Employee_24,Finance,Developer,2025-01-02,Present,09:00,17:30,10,No,45702,1769,500,1000000023,46971
E025,Employee_25,Operations,Analyst,2025-01-03,Present,09:15,18:00,20,No,54831,12102,500,1000000024,66433
E026,Employee_26,IT,Supervisor,2025-01-04,Present,09:30,17:30,5,Yes,39901,13631,1000,1000000025,52532
E027,Employee_27,Operations,Executive,2025-01-05,Present,09:00,18:00,5,Yes,42995,14975,1000,1000000026,56970
E028,Employee_28,Sales,Executive,2025-01-06,Present,09:30,20:00,10,No,32937,6986,1000,1000000027,38923
E029,Employee_29,Sales,Developer,2025-01-07,Present,09:00,17:30,35,Yes,26164,1497,500,1000000028,27161
E030,Employee_30,Finance,Supervisor,2025-01-08,Present,09:15,18:00,20,No,46046,2204,1000,1000000029,47250
E031,Employee_31,Finance,Developer,2025-01-09,Present,09:00,20:00,35,No,36252,9833,1000,1000000001,45085
E032,Employee_32,Finance,Supervisor,2025-01-10,Present,09:15,17:30,35,Yes,45993,6383,1000,1000000031,51376
E033,Employee_33,HR,Analyst,2025-01-11,Absent,09:15,18:00,10,Yes,42169,9446,500,1000000032,51115
E034,Employee_34,Finance,Executive,2025-01-12,Present,09:00,17:30,5,No,49251,2112,1000,1000000033,50363
E035,Employee_35,Operations,Manager,2025-01-13,Present,09:15,20:00,10,Yes,30330,14941,0,1000000034,45271
E036,Employee_36,Operations,Analyst,2025-01-14,Present,09:00,17:30,5,No,58398,10785,1000,1000000035,68183
E037,Employee_37,IT,Supervisor,2025-01-15,Present,09:15,20:00,0,No,28372,12825,500,1000000036,40697
E038,Employee_38,IT,Executive,2025-01-16,Absent,09:00,18:00,0,No,52982,10147,500,1000000037,62629
E039,Employee_39,Operations,Manager,2025-01-17,Present,09:30,20:00,20,No,30596,7733,500,1000000038,37829
E040,Employee_40,Sales,Developer,2025-01-18,Absent,09:30,17:30,5,Yes,50229,7243,500,1000000039,56972
E041,Employee_41,HR,Manager,2025-01-19,Present,09:30,17:30,0,No,51089,7381,0,1000000001,58470
E042,Employee_42,Sales,Executive,2025-01-20,Present,09:00,17:30,35,No,30522,12556,0,1000000041,43078
E043,Employee_43,Operations,Supervisor,2025-01-21,Present,09:15,20:00,5,Yes,51056,8209,1000,1000000042,58265
